record_type,profile,profile_label,pareto,complete,host_id,host_label,phase,scheduled,review_status,outcome,failure_probability,domains,reserve_id,replacement_host_id,campaign_cost,checksum
reserve,resilient,Resilience first,true,false,reviewed-host-32,School or childcare 32,,,conditional,reserve-candidate,,heat,heat-reserve-5,reviewed-host-20,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-27,Treatment facility 27,,,conditional,reserve-candidate,,air,air-reserve-1,reviewed-host-40,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-44,Transit or mobility 44,,,verified,reserve-candidate,,air,air-reserve-2,reviewed-host-17,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-24,Transit or mobility 24,,,conditional,reserve-candidate,,air,air-reserve-3,reviewed-host-26,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-43,Park or recreation 43,,,conditional,reserve-candidate,,soil,soil-reserve-1,reviewed-host-19,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-03,Park or recreation 03,,,conditional,reserve-candidate,,soil,soil-reserve-2,reviewed-host-29,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-28,Industrial-edge property 28,,,conditional,reserve-candidate,,soil,soil-reserve-3,reviewed-host-31,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-35,Community facility 35,,,conditional,reserve-candidate,,soil,soil-reserve-4,reviewed-host-30,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-08,Industrial-edge property 08,,,conditional,reserve-candidate,,soil,soil-reserve-5,reviewed-host-10,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-15,Community facility 15,,,conditional,reserve-candidate,,soil,soil-reserve-6,reviewed-host-37,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-22,School or childcare 22,,,conditional,reserve-candidate,,soil,soil-reserve-7,reviewed-host-36,14800,9828a203
reserve,resilient,Resilience first,true,false,reviewed-host-02,School or childcare 02,,,conditional,reserve-candidate,,soil,soil-reserve-8,reviewed-host-16,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-12,School or childcare 12,,true,conditional,replacement-activated,,soil,soil-reserve-1,reviewed-host-19,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-12,School or childcare 12,,true,conditional,replacement-activated,,heat,heat-reserve-1,reviewed-host-21,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-27,Treatment facility 27,,true,conditional,replacement-activated,,air,air-reserve-1,reviewed-host-40,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-35,Community facility 35,,true,conditional,replacement-activated,,soil,soil-reserve-2,reviewed-host-29,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-35,Community facility 35,,true,conditional,replacement-activated,,heat,heat-reserve-2,reviewed-host-34,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-02,School or childcare 02,,true,conditional,replacement-activated,,soil,soil-reserve-3,reviewed-host-31,14800,9828a203
replacement,resilient,Resilience first,true,false,reviewed-host-43,Park or recreation 43,,true,conditional,replacement-activated,,soil,soil-reserve-4,reviewed-host-30,14800,9828a203
